"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 1",1,11,11,8192,12,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"GL2C_EA_RDREQ_sum",3.000000,312994594423720,312994595572093
1,1,"Agent 1",1,11,11,8192,12,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"GL2C_EA_RDREQ_128B_sum",0.00000000e+00,312994594423720,312994595572093
1,1,"Agent 1",1,11,11,8192,12,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"GL2C_EA_RDREQ_32B_sum",0.00000000e+00,312994594423720,312994595572093
1,1,"Agent 1",1,11,11,8192,12,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"GL2C_EA_RDREQ_64B_sum",0.00000000e+00,312994594423720,312994595572093
2,2,"Agent 1",1,11,11,16777216,20,"read_f4(HIP_vector_type<float, 4u> const*, float*, unsigned long)",256,0,0,8,0,128,"GL2C_EA_RDREQ_sum",1048578.000000,312994596564823,312994598130201
2,2,"Agent 1",1,11,11,16777216,20,"read_f4(HIP_vector_type<float, 4u> const*, float*, unsigned long)",256,0,0,8,0,128,"GL2C_EA_RDREQ_128B_sum",0.00000000e+00,312994596564823,312994598130201
2,2,"Agent 1",1,11,11,16777216,20,"read_f4(HIP_vector_type<float, 4u> const*, float*, unsigned long)",256,0,0,8,0,128,"GL2C_EA_RDREQ_32B_sum",0.00000000e+00,312994596564823,312994598130201
2,2,"Agent 1",1,11,11,16777216,20,"read_f4(HIP_vector_type<float, 4u> const*, float*, unsigned long)",256,0,0,8,0,128,"GL2C_EA_RDREQ_64B_sum",0.00000000e+00,312994596564823,312994598130201
