"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 1",1,90,90,8192,3,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"GL2C_EA_WRREQ_sum",106497.000000,312928942390368,312928942483049
1,1,"Agent 1",1,90,90,8192,3,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"GL2C_EA_WRREQ_64B_sum",0.00000000e+00,312928942390368,312928942483049
2,2,"Agent 1",1,90,90,2097152,18,"write_f4(HIP_vector_type<float, 4u>*, unsigned long)",256,0,0,8,0,128,"GL2C_EA_WRREQ_sum",106496.000000,312928943600295,312928943687216
2,2,"Agent 1",1,90,90,2097152,18,"write_f4(HIP_vector_type<float, 4u>*, unsigned long)",256,0,0,8,0,128,"GL2C_EA_WRREQ_64B_sum",0.00000000e+00,312928943600295,312928943687216
