"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 1",1,160,160,8192,2,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"GL2C_EA_RDREQ_sum",3.000000,312931512177159,312931513324490
1,1,"Agent 1",1,160,160,8192,2,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"GL2C_EA_RDREQ_128B_sum",0.00000000e+00,312931512177159,312931513324490
1,1,"Agent 1",1,160,160,8192,2,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"SQ_INSTS_VALU",3672320.000000,312931512177159,312931513324490
1,1,"Agent 1",1,160,160,8192,2,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"SQ_WAVES",256.000000,312931512177159,312931513324490
2,2,"Agent 1",1,160,160,16777216,20,"read_f4(HIP_vector_type<float, 4u> const*, float*, unsigned long)",256,0,0,8,0,128,"GL2C_EA_RDREQ_sum",1048578.000000,312931514308899,312931515873435
2,2,"Agent 1",1,160,160,16777216,20,"read_f4(HIP_vector_type<float, 4u> const*, float*, unsigned long)",256,0,0,8,0,128,"GL2C_EA_RDREQ_128B_sum",0.00000000e+00,312931514308899,312931515873435
2,2,"Agent 1",1,160,160,16777216,20,"read_f4(HIP_vector_type<float, 4u> const*, float*, unsigned long)",256,0,0,8,0,128,"SQ_INSTS_VALU",5242880.000000,312931514308899,312931515873435
2,2,"Agent 1",1,160,160,16777216,20,"read_f4(HIP_vector_type<float, 4u> const*, float*, unsigned long)",256,0,0,8,0,128,"SQ_WAVES",524288.000000,312931514308899,312931515873435
