"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 1",1,18,18,8192,1,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"GL2C_EA_WRREQ_sum",1024001.000000,311700887989609,311700888409014
1,1,"Agent 1",1,18,18,8192,1,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"GL2C_EA_WRREQ_64B_sum",0.00000000e+00,311700887989609,311700888409014
2,2,"Agent 1",1,18,18,16777216,19,"read_f4(HIP_vector_type<float, 4u> const*, float*, unsigned long)",256,0,0,8,0,128,"GL2C_EA_WRREQ_sum",0.00000000e+00,311700889235423,311700889840270
2,2,"Agent 1",1,18,18,16777216,19,"read_f4(HIP_vector_type<float, 4u> const*, float*, unsigned long)",256,0,0,8,0,128,"GL2C_EA_WRREQ_64B_sum",0.00000000e+00,311700889235423,311700889840270
