"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 1",1,70,70,8192,1,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"GL2C_EA_RDREQ_sum",3.000000,312928221158295,312928223867326
1,1,"Agent 1",1,70,70,8192,1,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"GL2C_EA_RDREQ_128B_sum",0.00000000e+00,312928221158295,312928223867326
1,1,"Agent 1",1,70,70,8192,1,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"GL2C_EA_RDREQ_32B_sum",0.00000000e+00,312928221158295,312928223867326
1,1,"Agent 1",1,70,70,8192,1,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"GL2C_EA_RDREQ_64B_sum",0.00000000e+00,312928221158295,312928223867326
2,2,"Agent 1",1,70,70,33554432,20,"read_f4(HIP_vector_type<float, 4u> const*, float*, unsigned long)",256,0,0,8,0,128,"GL2C_EA_RDREQ_sum",2099030.000000,312928224826696,312928227956292
2,2,"Agent 1",1,70,70,33554432,20,"read_f4(HIP_vector_type<float, 4u> const*, float*, unsigned long)",256,0,0,8,0,128,"GL2C_EA_RDREQ_128B_sum",193.000000,312928224826696,312928227956292
2,2,"Agent 1",1,70,70,33554432,20,"read_f4(HIP_vector_type<float, 4u> const*, float*, unsigned long)",256,0,0,8,0,128,"GL2C_EA_RDREQ_32B_sum",0.00000000e+00,312928224826696,312928227956292
2,2,"Agent 1",1,70,70,33554432,20,"read_f4(HIP_vector_type<float, 4u> const*, float*, unsigned long)",256,0,0,8,0,128,"GL2C_EA_RDREQ_64B_sum",6.000000,312928224826696,312928227956292
