"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 1",1,36,36,8192,3,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"GL2C_EA_WRREQ_sum",1024001.000000,311666963401313,311666963811000
1,1,"Agent 1",1,36,36,8192,3,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"GL2C_EA_WRREQ_64B_sum",0.00000000e+00,311666963401313,311666963811000
2,2,"Agent 1",1,36,36,16777216,19,"read_f4(HIP_vector_type<float, 4u> const*, float*, unsigned long)",256,0,0,8,0,128,"GL2C_EA_WRREQ_sum",0.00000000e+00,311666964715532,311666965323222
2,2,"Agent 1",1,36,36,16777216,19,"read_f4(HIP_vector_type<float, 4u> const*, float*, unsigned long)",256,0,0,8,0,128,"GL2C_EA_WRREQ_64B_sum",0.00000000e+00,311666964715532,311666965323222
