"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 1",1,50,50,8192,3,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"GL2C_EA_RDREQ_sum",3.000000,312927495374731,312927495788336
1,1,"Agent 1",1,50,50,8192,3,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"GL2C_EA_RDREQ_128B_sum",0.00000000e+00,312927495374731,312927495788336
1,1,"Agent 1",1,50,50,8192,3,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"GL2C_EA_RDREQ_32B_sum",0.00000000e+00,312927495374731,312927495788336
1,1,"Agent 1",1,50,50,8192,3,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"GL2C_EA_RDREQ_64B_sum",0.00000000e+00,312927495374731,312927495788336
2,2,"Agent 1",1,50,50,8388608,20,"read_f4(HIP_vector_type<float, 4u> const*, float*, unsigned long)",256,0,0,8,0,128,"GL2C_EA_RDREQ_sum",524290.000000,312927496774424,312927497575032
2,2,"Agent 1",1,50,50,8388608,20,"read_f4(HIP_vector_type<float, 4u> const*, float*, unsigned long)",256,0,0,8,0,128,"GL2C_EA_RDREQ_128B_sum",0.00000000e+00,312927496774424,312927497575032
2,2,"Agent 1",1,50,50,8388608,20,"read_f4(HIP_vector_type<float, 4u> const*, float*, unsigned long)",256,0,0,8,0,128,"GL2C_EA_RDREQ_32B_sum",0.00000000e+00,312927496774424,312927497575032
2,2,"Agent 1",1,50,50,8388608,20,"read_f4(HIP_vector_type<float, 4u> const*, float*, unsigned long)",256,0,0,8,0,128,"GL2C_EA_RDREQ_64B_sum",0.00000000e+00,312927496774424,312927497575032
