"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 1",1,190,190,8192,2,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"GL2C_EA_RDREQ_sum",1859.000000,312932598208203,312932599374374
1,1,"Agent 1",1,190,190,8192,2,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"GL2C_EA_RDREQ_128B_sum",196.000000,312932598208203,312932599374374
1,1,"Agent 1",1,190,190,8192,2,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"SQ_INSTS_VALU",3735070.000000,312932598208203,312932599374374
1,1,"Agent 1",1,190,190,8192,2,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"SQ_WAVES",4949.000000,312932598208203,312932599374374
2,2,"Agent 1",1,190,190,16777216,20,"read_f4(HIP_vector_type<float, 4u> const*, float*, unsigned long)",256,0,0,8,0,128,"GL2C_EA_RDREQ_sum",1048578.000000,312932600548983,312932602117198
2,2,"Agent 1",1,190,190,16777216,20,"read_f4(HIP_vector_type<float, 4u> const*, float*, unsigned long)",256,0,0,8,0,128,"GL2C_EA_RDREQ_128B_sum",0.00000000e+00,312932600548983,312932602117198
2,2,"Agent 1",1,190,190,16777216,20,"read_f4(HIP_vector_type<float, 4u> const*, float*, unsigned long)",256,0,0,8,0,128,"SQ_INSTS_VALU",5242880.000000,312932600548983,312932602117198
2,2,"Agent 1",1,190,190,16777216,20,"read_f4(HIP_vector_type<float, 4u> const*, float*, unsigned long)",256,0,0,8,0,128,"SQ_WAVES",524288.000000,312932600548983,312932602117198
