"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 1",1,27,27,8192,3,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"GL2C_HIT_sum",3145821.000000,311666591261124,311666591661170
1,1,"Agent 1",1,27,27,8192,3,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"GL2C_MISS_sum",1048579.000000,311666591261124,311666591661170
2,2,"Agent 1",1,27,27,16777216,19,"read_f4(HIP_vector_type<float, 4u> const*, float*, unsigned long)",256,0,0,8,0,128,"GL2C_HIT_sum",1055645.000000,311666592627145,311666593238395
2,2,"Agent 1",1,27,27,16777216,19,"read_f4(HIP_vector_type<float, 4u> const*, float*, unsigned long)",256,0,0,8,0,128,"GL2C_MISS_sum",1051803.000000,311666592627145,311666593238395
